account_id,account_name,plan_tier,current_mrr,current_arr,churn_probability,revenue_at_risk,priority,recommended_action,avg_satisfaction,ticket_count,escalation_rate,total_usage_count,has_upgraded,has_downgraded
A-43a9e3,Company_1,Basic,10004.0,120048.0,0.16510019835687517,1651.6623843621792,Low,Proactive retention outreach,4.0,3.0,0.0,317,True,False
A-0a282f,Company_2,Basic,1194.0,14328.0,0.507122030060671,605.5037038924412,High,Proactive retention outreach,5.0,2.0,0.0,717,False,False
A-1f0ac7,Company_3,Basic,7491.0,89892.0,0.1395647029386115,1045.4791897131388,Low,Proactive retention outreach,,2.0,0.0,337,True,False
A-1b9609,Company_5,Enterprise,16614.0,199368.0,0.3564044034112426,5921.302758274384,Medium,Customer satisfaction outreach,3.0,3.0,0.0,390,False,False
A-a0ca4e,Company_6,Pro,10920.0,131040.0,0.2347332983712121,2563.287618213636,Low,Priority support intervention,3.8,5.0,0.6,311,False,False
A-e5d6ab,Company_7,Pro,10815.0,129780.0,0.08445615521151889,913.3933186125768,Low,Proactive retention outreach,,3.0,0.0,289,False,False
A-7dacce,Company_8,Enterprise,4975.0,59700.0,0.5642924783821415,2807.355079951154,High,Proactive retention outreach,3.6666666666666665,4.0,0.0,409,False,False
A-10b8da,Company_9,Enterprise,5404.0,64848.0,0.1932720364535712,1044.4420849950986,Low,Proactive retention outreach,3.5,3.0,0.0,201,True,False
A-592832,Company_10,Basic,12605.0,151260.0,0.47824169568426333,6028.2365741001395,Medium,Proactive retention outreach,5.0,2.0,0.0,941,False,False
A-6c093d,Company_12,Basic,15728.0,188736.0,0.06830570238701814,1074.3120871430212,Low,Priority support intervention,5.0,3.0,0.3333333333333333,555,True,False
A-462d45,Company_13,Enterprise,17282.0,207384.0,0.36573762819988453,6320.677690550405,Medium,Account retention review,4.0,3.0,0.0,588,True,True
A-ac14bb,Company_15,Enterprise,27347.0,328164.0,0.21473893504204308,5872.4656565947525,Low,Proactive retention outreach,4.0,2.0,0.0,473,True,False
A-ce66f8,Company_17,Pro,11858.0,142296.0,0.22565633203704832,2675.832785295319,Low,Customer satisfaction outreach,3.0,5.0,0.0,434,False,False
A-c4ea60,Company_18,Enterprise,6600.0,79200.0,0.3249998170072818,2144.99879224806,Medium,Account retention review,3.6,5.0,0.0,366,False,True
A-832ec2,Company_19,Enterprise,4921.0,59052.0,0.32689300306145913,1608.6404680654405,Medium,Priority support intervention,4.0,3.0,0.3333333333333333,425,True,False
A-684255,Company_20,Enterprise,9744.0,116928.0,0.5452710516302696,5313.121127085346,High,Proactive retention outreach,4.666666666666667,4.0,0.25,569,True,False
A-c42f1f,Company_21,Pro,539.0,6468.0,0.6514516813521677,351.13245624881836,High,Proactive retention outreach,4.0,9.0,0.1111111111111111,321,False,False
A-4e44e8,Company_22,Enterprise,1874.0,22488.0,0.8038169258934345,1506.3529191242962,High,Proactive retention outreach,3.333333333333333,3.0,0.0,637,True,False
A-30b4ca,Company_23,Basic,74304.0,891648.0,0.0528521486659441,3927.1260544743104,Low,Proactive retention outreach,4.0,3.0,0.0,370,False,False
