payment_id,account_id,attempt_number,action,result,amount,churn_probability,failure_reason
P-00005,A-a0ca4e,1,Retry later,recovered,10920.0,0.2347,insufficient_funds
P-00006,A-e5d6ab,1,Smart retry,recovered,10815.0,0.0845,network_error
P-00009,A-592832,1,Smart retry,failed,12605.0,0.4782,network_error
P-00009,A-592832,2,Payment link,recovered,12605.0,0.4782,network_error
P-00011,A-462d45,1,Retry later,recovered,17282.0,0.3657,insufficient_funds
P-00012,A-ac14bb,1,Payment link,recovered,27347.0,0.2147,card_declined
P-00017,A-c42f1f,1,Retry later,failed,539.0,0.6515,insufficient_funds
P-00017,A-c42f1f,2,Payment link,recovered,539.0,0.6515,insufficient_funds
P-00018,A-4e44e8,1,Payment link,failed,1874.0,0.8038,card_declined
P-00018,A-4e44e8,2,Customer outreach,recovered,1874.0,0.8038,card_declined
P-00020,A-32fb14,1,Payment link,recovered,3601.0,0.2412,card_declined
P-00022,A-35083d,1,Payment link,recovered,20820.0,0.2102,expired_card
P-00023,A-eb7fac,1,Retry later,recovered,41259.0,0.2005,insufficient_funds
P-00028,A-bad8c1,1,Payment link,recovered,7797.0,0.0369,expired_card
P-00030,A-f446b6,1,Payment link,failed,11392.0,0.1546,card_declined
P-00030,A-f446b6,2,Customer outreach,failed,11392.0,0.1546,card_declined
P-00030,A-f446b6,3,Final recovery attempt,failed,11392.0,0.1546,card_declined
P-00031,A-a45270,1,Priority customer outreach,recovered,16601.0,0.6573,network_error
P-00037,A-2d4502,1,Smart retry,recovered,15481.0,0.2544,network_error
P-00043,A-02fac6,1,Retry later,failed,20954.0,0.1169,insufficient_funds
P-00043,A-02fac6,2,Payment link,failed,20954.0,0.1169,insufficient_funds
P-00043,A-02fac6,3,Final recovery attempt,failed,20954.0,0.1169,insufficient_funds
P-00044,A-c1dfe1,1,Payment link,recovered,25296.0,0.2135,card_declined
P-00046,A-4c38bc,1,Smart retry,recovered,29520.0,0.391,bank_error
P-00048,A-6f8ad2,1,Payment link,recovered,20619.0,0.4552,card_declined
P-00049,A-4d1e75,1,Smart retry,recovered,13698.0,0.349,bank_error
P-00050,A-9ee962,1,Smart retry,failed,9249.0,0.1382,network_error
P-00050,A-9ee962,2,Payment link,failed,9249.0,0.1382,network_error
P-00050,A-9ee962,3,Final recovery attempt,recovered,9249.0,0.1382,network_error
P-00053,A-e351e1,1,Smart retry,recovered,627.0,0.446,bank_error
P-00057,A-f92792,1,Payment link,failed,17262.0,0.4637,card_declined
P-00057,A-f92792,2,Customer outreach,failed,17262.0,0.4637,card_declined
P-00057,A-f92792,3,Final recovery attempt,failed,17262.0,0.4637,card_declined
P-00058,A-84ebe4,1,Smart retry,failed,20830.0,0.0503,network_error
P-00058,A-84ebe4,2,Payment link,recovered,20830.0,0.0503,network_error
P-00061,A-a8b49c,1,Payment link,recovered,6846.0,0.194,card_declined
P-00067,A-9208f0,1,Smart retry,recovered,3413.0,0.2106,bank_error
P-00074,A-91e948,1,Retry later,failed,13735.0,0.0279,insufficient_funds
P-00074,A-91e948,2,Payment link,failed,13735.0,0.0279,insufficient_funds
