payment_id,account_id,amount,payment_status,failure_reason,attempts_used,recovery_action,recovery_status,recovered_amount,next_step
P-00001,A-43a9e3,10004.0,successful,,0,No action,not_required,0.0,No action
P-00002,A-0a282f,1194.0,successful,,0,No action,not_required,0.0,No action
P-00003,A-1f0ac7,7491.0,successful,,0,No action,not_required,0.0,No action
P-00004,A-1b9609,16614.0,successful,,0,No action,not_required,0.0,No action
P-00005,A-a0ca4e,10920.0,failed,insufficient_funds,1,Retry later,recovered,10920.0,Recovered - stop
P-00006,A-e5d6ab,10815.0,failed,network_error,1,Smart retry,recovered,10815.0,Recovered - stop
P-00007,A-7dacce,4975.0,successful,,0,No action,not_required,0.0,No action
P-00008,A-10b8da,5404.0,successful,,0,No action,not_required,0.0,No action
P-00009,A-592832,12605.0,failed,network_error,2,Payment link,recovered,12605.0,Recovered - stop
P-00010,A-6c093d,15728.0,successful,,0,No action,not_required,0.0,No action
P-00011,A-462d45,17282.0,failed,insufficient_funds,1,Retry later,recovered,17282.0,Recovered - stop
P-00012,A-ac14bb,27347.0,failed,card_declined,1,Payment link,recovered,27347.0,Recovered - stop
P-00013,A-ce66f8,11858.0,successful,,0,No action,not_required,0.0,No action
P-00014,A-c4ea60,6600.0,successful,,0,No action,not_required,0.0,No action
P-00015,A-832ec2,4921.0,successful,,0,No action,not_required,0.0,No action
P-00016,A-684255,9744.0,successful,,0,No action,not_required,0.0,No action
P-00017,A-c42f1f,539.0,failed,insufficient_funds,2,Payment link,recovered,539.0,Recovered - stop
P-00018,A-4e44e8,1874.0,failed,card_declined,2,Customer outreach,recovered,1874.0,Recovered - stop
P-00019,A-30b4ca,74304.0,successful,,0,No action,not_required,0.0,No action
P-00020,A-32fb14,3601.0,failed,card_declined,1,Payment link,recovered,3601.0,Recovered - stop
P-00021,A-00cac8,9210.0,successful,,0,No action,not_required,0.0,No action
P-00022,A-35083d,20820.0,failed,expired_card,1,Payment link,recovered,20820.0,Recovered - stop
P-00023,A-eb7fac,41259.0,failed,insufficient_funds,1,Retry later,recovered,41259.0,Recovered - stop
P-00024,A-b20d99,7089.0,successful,,0,No action,not_required,0.0,No action
P-00025,A-45ce7a,4248.0,successful,,0,No action,not_required,0.0,No action
P-00026,A-08e34e,10422.0,successful,,0,No action,not_required,0.0,No action
