account_id,account_name,industry,country,referral_source,plan_tier,seats,is_trial,tenure_days,current_mrr,current_arr,active_seats,total_usage_count,ticket_count,avg_satisfaction,escalation_rate,has_upgraded,has_downgraded,churn_target
A-43a9e3,Company_1,FinTech,IN,other,Basic,18,False,410,10004.0,120048.0,176.0,317,3.0,4.0,0.0,True,False,0
A-0a282f,Company_2,DevTools,US,organic,Basic,1,False,34,1194.0,14328.0,6.0,717,2.0,5.0,0.0,False,False,1
A-1f0ac7,Company_3,HealthTech,UK,other,Basic,24,True,400,7491.0,89892.0,153.0,337,2.0,,0.0,True,False,1
A-1b9609,Company_5,EdTech,IN,ads,Enterprise,4,False,354,16614.0,199368.0,186.0,390,3.0,3.0,0.0,False,False,1
A-a0ca4e,Company_6,Cybersecurity,US,ads,Pro,11,False,206,10920.0,131040.0,120.0,311,5.0,3.8,0.6,False,False,0
A-e5d6ab,Company_7,EdTech,US,partner,Pro,3,False,534,10815.0,129780.0,122.0,289,3.0,,0.0,False,False,0
A-7dacce,Company_8,Cybersecurity,CA,event,Enterprise,12,False,20,4975.0,59700.0,37.0,409,4.0,3.6666666666666665,0.0,False,False,1
A-10b8da,Company_9,DevTools,US,partner,Enterprise,14,False,511,5404.0,64848.0,99.0,201,3.0,3.5,0.0,True,False,0
A-592832,Company_10,Cybersecurity,US,organic,Basic,18,False,5,12605.0,151260.0,125.0,941,2.0,5.0,0.0,False,False,1
A-6c093d,Company_12,DevTools,US,partner,Basic,7,True,535,15728.0,188736.0,152.0,555,3.0,5.0,0.3333333333333333,True,False,0
A-462d45,Company_13,Cybersecurity,US,partner,Enterprise,11,True,259,17282.0,207384.0,267.0,588,3.0,4.0,0.0,True,True,0
A-ac14bb,Company_15,FinTech,US,partner,Enterprise,21,False,388,27347.0,328164.0,229.0,473,2.0,4.0,0.0,True,False,1
A-ce66f8,Company_17,EdTech,CA,event,Pro,29,False,404,11858.0,142296.0,182.0,434,5.0,3.0,0.0,False,False,0
A-c4ea60,Company_18,FinTech,DE,other,Enterprise,18,False,571,6600.0,79200.0,178.0,366,5.0,3.6,0.0,False,True,0
A-832ec2,Company_19,FinTech,UK,event,Enterprise,4,True,316,4921.0,59052.0,110.0,425,3.0,4.0,0.3333333333333333,True,False,0
A-684255,Company_20,FinTech,US,ads,Enterprise,9,False,169,9744.0,116928.0,126.0,569,4.0,4.666666666666667,0.25,True,False,0
A-c42f1f,Company_21,HealthTech,US,other,Pro,8,False,64,539.0,6468.0,11.0,321,9.0,4.0,0.1111111111111111,False,False,0
A-4e44e8,Company_22,DevTools,US,ads,Enterprise,3,False,41,1874.0,22488.0,96.0,637,3.0,3.3333333333333335,0.0,True,False,1
A-30b4ca,Company_23,EdTech,IN,organic,Basic,86,False,133,74304.0,891648.0,602.0,370,3.0,4.0,0.0,False,False,0
A-32fb14,Company_25,DevTools,US,event,Enterprise,26,False,573,3601.0,43212.0,165.0,460,5.0,4.5,0.0,True,False,0
A-00cac8,Company_26,HealthTech,AU,organic,Enterprise,8,True,381,9210.0,110520.0,99.0,555,2.0,,0.0,False,False,0
A-35083d,Company_27,HealthTech,IN,partner,Basic,19,False,521,20820.0,249840.0,326.0,674,4.0,5.0,0.0,True,False,0
A-eb7fac,Company_28,DevTools,US,organic,Enterprise,7,False,338,41259.0,495108.0,291.0,484,4.0,4.0,0.0,False,False,0
A-b20d99,Company_29,HealthTech,IN,other,Basic,20,False,369,7089.0,85068.0,141.0,329,2.0,3.5,0.0,False,False,0
A-45ce7a,Company_31,FinTech,US,ads,Enterprise,16,False,435,4248.0,50976.0,88.0,392,4.0,3.6666666666666665,0.0,True,True,0
A-08e34e,Company_32,EdTech,US,event,Basic,14,False,95,10422.0,125064.0,227.0,556,3.0,3.0,0.0,False,False,0
A-8145a0,Company_33,Cybersecurity,AU,partner,Basic,2,True,524,12000.0,144000.0,157.0,614,5.0,4.0,0.0,True,False,0
A-bad8c1,Company_34,FinTech,AU,organic,Basic,7,False,579,7797.0,93564.0,223.0,332,1.0,4.0,0.0,True,False,0
A-44dc83,Company_35,EdTech,FR,other,Basic,5,False,141,456.0,5472.0,78.0,236,7.0,4.6,0.0,False,False,1
A-f446b6,Company_36,DevTools,DE,ads,Pro,5,True,507,11392.0,136704.0,148.0,322,7.0,4.25,0.0,False,False,0
A-a45270,Company_37,HealthTech,US,ads,Enterprise,3,False,98,16601.0,199212.0,193.0,687,2.0,,0.0,True,False,1
A-05f0e5,Company_40,FinTech,US,partner,Basic,32,False,515,45082.0,540984.0,418.0,557,3.0,4.0,0.0,True,False,1
A-9077b0,Company_41,HealthTech,US,ads,Basic,2,False,36,38.0,456.0,2.0,460,3.0,4.333333333333333,0.0,False,False,0
