payment_id,account_id,amount,payment_status,failure_reason,attempt_number,churn_probability
P-00001,A-43a9e3,10004.0,successful,,1,0.1651
P-00002,A-0a282f,1194.0,successful,,1,0.5071
P-00003,A-1f0ac7,7491.0,successful,,1,0.1396
P-00004,A-1b9609,16614.0,successful,,1,0.3564
P-00005,A-a0ca4e,10920.0,failed,insufficient_funds,1,0.2347
P-00006,A-e5d6ab,10815.0,failed,network_error,1,0.0845
P-00007,A-7dacce,4975.0,successful,,1,0.5643
P-00008,A-10b8da,5404.0,successful,,1,0.1933
P-00009,A-592832,12605.0,failed,network_error,1,0.4782
P-00010,A-6c093d,15728.0,successful,,1,0.0683
P-00011,A-462d45,17282.0,failed,insufficient_funds,1,0.3657
P-00012,A-ac14bb,27347.0,failed,card_declined,1,0.2147
P-00013,A-ce66f8,11858.0,successful,,1,0.2257
P-00014,A-c4ea60,6600.0,successful,,1,0.325
P-00015,A-832ec2,4921.0,successful,,1,0.3269
P-00016,A-684255,9744.0,successful,,1,0.5453
P-00017,A-c42f1f,539.0,failed,insufficient_funds,1,0.6515
P-00018,A-4e44e8,1874.0,failed,card_declined,1,0.8038
P-00019,A-30b4ca,74304.0,successful,,1,0.0529
P-00020,A-32fb14,3601.0,failed,card_declined,1,0.2412
P-00021,A-00cac8,9210.0,successful,,1,0.2188
P-00022,A-35083d,20820.0,failed,expired_card,1,0.2102
P-00023,A-eb7fac,41259.0,failed,insufficient_funds,1,0.2005
P-00024,A-b20d99,7089.0,successful,,1,0.2246
P-00025,A-45ce7a,4248.0,successful,,1,0.424
P-00026,A-08e34e,10422.0,successful,,1,0.3071
P-00027,A-8145a0,12000.0,successful,,1,0.0793
P-00028,A-bad8c1,7797.0,failed,expired_card,1,0.0369
P-00029,A-44dc83,456.0,successful,,1,0.2356
P-00030,A-f446b6,11392.0,failed,card_declined,1,0.1546
P-00031,A-a45270,16601.0,failed,network_error,1,0.6573
P-00032,A-05f0e5,45082.0,successful,,1,0.0572
P-00033,A-9077b0,38.0,successful,,1,0.4675
P-00034,A-7f8241,32104.0,successful,,1,0.0747
P-00035,A-2bc93d,30413.0,successful,,1,0.0535
P-00036,A-f3ff05,8973.0,successful,,1,0.7837
P-00037,A-2d4502,15481.0,failed,network_error,1,0.2544
P-00038,A-6a4e2d,9708.0,successful,,1,0.2245
